co_art,Modelo,Descripción,Sub-Línea,Marca,P1 C/IVA,P2 C/IVA,DSP
301337,PALAC90XV,CAMPANA D/PARED COCINART 90 CM LACIO VETRO ACERO,CAMPANAS,COCINART,"359,99","214,99",1
301338,CAMTHERMADOR36,CAMPANA D/PARED THERMADOR 36 ACERO INOX INCLUYE MOTOR Y DUCTO,CAMPANAS,THERMADOR,"5.194,99","2.999,99",1
301340,KCGS550ESS,TOPE A GAS KITCHENAID 5 QUEM 76 CM ACERO,TOPES,KITCHENAID,"2.669,99","1.599,99",6
301341,KFDC506JSS,"COCINA DUAL KITCHENAID 6 QUEM 36"" ACERO",COCINAS,KITCHENAID,"12.834,99","7.699,99",2
301344,WOA105F,"HORNO A GAS WHIRLPOOL 24"" MANUAL CONVEC NEGRO",HORNOS,WHIRLPOOL,"899,99","539,99",6
301345,SJ24A4H,"COCINA A GAS SJ ELECTRONICS 4 QUEM 24"" ACERO",COCINAS,SJ ELECTRONICS,"859,99","519,99",2
301346,SJ30A5H,"COCINA A GAS SJ ELECTRONICS 5 QUEM 30"" ACERO",COCINAS,SJ ELECTRONICS,"869,99","519,99",3
301348,WM1211DB,MICROONDAS WHIRLPOOL 1.1 CU.FT. PLATEADO,MICROONDAS,WHIRLPOOL,"199,99","119,99",30
301349,WM1711D,MICROONDAS WHIRLPOOL 1.1 CU.FT. P/EMP NEGRO / TRIM PLAT,MICROONDAS,WHIRLPOOL,"434,99","259,99",24
301350,QUADRATO76BLACK,CAMPANA D/PARED DRIJA 76 CM QUADRATO NEGRO,CAMPANAS,DRIJA,"399,99","239,99",2
301351,QUADRATO90BLACK,CAMPANA D/PARED DRIJA 90 CM QUADRATO NEGRO,CAMPANAS,DRIJA,"449,99","259,99",4
301352,077N6009,CAMPANA D/PARED BEST 90 CM ACERO,CAMPANAS,BEST,"1.494,99","899,99",6
301353,C1PORTLP,PARRILLERA COYOTE 1 QUEM PORTATIL ACERO,PARRILLERAS,COYOTE,"1.129,99","669,99",2
301355,1100195074,CAMPANA ISLA FABER 120 CM ACERO,CAMPANAS,FABER,"1.339,99","774,99",3
301356,1100324080,CAMPANA D/PARED FABER 45 CM LITHOS BLANCO,CAMPANAS,FABER,"774,99","464,99",4
301357,SOPA3302TPX,"HORNO ELECT SMEG 30"" MANUAL CONVEC ACERO",HORNOS,SMEG,"4.809,99","2.849,99",5
301358,HBA510BR0,"HORNO ELECT BOSCH 24"" MANUAL MULTIFUNCION ACERO",HORNOS,BOSCH,"1.119,99","669,99",2
301360,WHW9001S,CAMPANA D/PARED WHIRLPOOL 90 CM ACERO,CAMPANAS,WHIRLPOOL,"919,99","549,99",2
301363,VICP1003420,CAMPANA ISLA VIOTTO 90 CM CECIAS ACERO,CAMPANAS,VIOTTO,"599,99","359,99",1
301367,LIVORNO76PROF,TOPE A GAS DRIJA 5 QUEM 76 CM LIVORNO76 ACERO,TOPES,DRIJA,"849,99","499,99",4
301370,MILAN91,TOPE A GAS DRIJA 6 QUEM 91 CM MILA91 ACERO,TOPES,DRIJA,"599,99","359,99",4
301371,SICILIA30,TOPE DUAL DRIJA 2 QUEM 30 CM DISC/SOL SICILIA30 ACERO,TOPES,DRIJA,"289,99","169,99",5
301373,POTENZA76,TOPE A GAS DRIJA 5 QUEM 76 CM POTENZA76 ACERO,TOPES,DRIJA,"1.039,99","624,99",1
301374,TOSCANA91,TOPE A GAS DRIJA 6 QUEM 91 CM VITRO TOSCANA91 NEGRO,TOPES,DRIJA,"669,99","399,99",3
301375,TOB135N,HORNO TOSTADOR CUSINART 17 LTS ACERO,HORNOS,CUISINART,"414,99","239,99",1
301377,WH6010S,CAMPANA P/EMP WHIRLPOOL 60 CM ACERO,CAMPANAS,WHIRLPOOL,"284,99","169,99",4
301378,WEE750H0HZ,"COCINA ELECT WHIRLPOOL 5 QUEM 30"" T/VITRO ACERO",COCINAS,WHIRLPOOL,"3.784,99","2.269,99",4
301380,OCEANIA60BLACK,"HORNO A GAS DRIJA 24"" MANUAL NEGRO",HORNOS,DRIJA,"624,99","374,99",3
301381,QUADRATOISLA76BLACK,CAMPANA ISLA DRIJA 76 CM QUADRATO NEGRO,CAMPANAS,DRIJA,"744,99","439,99",2
301383,GCCG3048AS,TOPE A GAS FRIGIDAIRE 5 QUEM 76 CM ACERO,TOPES,FRIGIDAIRE,"1.439,99","849,99",3
301384,LWWR3000S,"COCINA A GAS WHIRLPOOL 4 QUEM 20"" ACERO",COCINAS,WHIRLPOOL,"584,99","339,99",1
301386,NAPOLI25LBLACK,MICROONDAS DRIJA 0.9 CU.FT. P/EMP NAPOLI NEGRO,MICROONDAS,DRIJA,"434,99","259,99",9
301389,0220NOVARAPRSS60,CAMPANA P/EMP TECNOLAM 60 CM NOVARA ACERO,CAMPANAS,TECNOLAM,"174,99","99,99",1
301397,GENOVA76PROF,TOPE A GAS DRIJA 5 QUEM 76 CM VITRO GENOVA76 ACERO,TOPES,DRIJA,"1.069,99","634,99",7
301399,SORRENTO25LBLACK,MICROONDAS DRIJA 0.9 CU.FT. P/EMP SORRENTO NEGRO,MICROONDAS,DRIJA,"634,99","379,99",2
301400,WOEC7030PZ,"HORNO MICROONDAS ELECT WHIRLPOOL 30"" P/EMP CONVEC ACERO",HORNOS,WHIRLPOOL,"8.334,99","4.999,99",6
301401,WOES7027PZ,"HORNO ELECT WHIRLPOOL 27"" DIGITAL CONVEC P/EMP ACERO",HORNOS,WHIRLPOOL,"3.694,99","2.199,99",1
301402,WOES7030PZ,"HORNO ELECT WHIRLPOOL 30"" DIGITAL CONVEC P/EMP ACERO",HORNOS,WHIRLPOOL,"3.694,99","2.214,99",1
301403,WOEC5027LZ,"HORNO MICROONDAS ELECT WHIRLPOOL 27"" P/EMP ACERO",HORNOS,WHIRLPOOL,"5.294,99","3.169,99",4
301405,HSC644C,HORNO MICROONDAS TEKA 1.4 CU.FT HYDROCLEAN ACERO 40587605,MICROONDAS,TEKA,"1.149,99","689,99",4
301406,KOCE500EBS,"HORNO MICROONDAS ELECT KITCHENAID 30"" DIGITAL CONVEC NEGRO",HORNOS,KITCHENAID,"8.734,99","5.249,99",1
